Linear envelope (µVolts.s): 7275.626969323859
Time(s),RMS(µVolts),Median_Frequency(Hz)
0.000000,2.992426,58.593750
0.125000,2.821385,60.546875
0.250000,2.306934,83.984375
0.375000,2.365183,60.546875
0.500000,2.740296,62.500000
0.625000,10.863640,74.218750
0.750000,25.505590,62.500000
0.875000,53.203663,60.546875
1.000000,94.545602,42.968750
1.125000,121.223632,60.546875
1.250000,137.112766,62.500000
1.375000,156.721932,68.359375
1.500000,181.970466,64.453125
1.625000,192.921012,54.687500
1.750000,194.484667,50.781250
1.875000,204.136174,70.312500
2.000000,223.131025,70.312500
2.125000,268.221948,91.796875
2.250000,368.803426,74.218750
2.375000,390.628433,62.500000
2.500000,328.104346,83.984375
2.625000,303.331826,91.796875
2.750000,313.442163,87.890625
2.875000,305.892372,70.312500
3.000000,345.610133,68.359375
3.125000,362.787808,64.453125
3.250000,337.747529,76.171875
3.375000,362.913231,64.453125
3.500000,343.340400,95.703125
3.625000,337.821212,76.171875
3.750000,347.885214,80.078125
3.875000,407.043556,78.125000
4.000000,452.351141,72.265625
4.125000,392.256882,70.312500
4.250000,328.355540,72.265625
4.375000,380.162242,74.218750
4.500000,388.451142,74.218750
4.625000,384.866505,76.171875
4.750000,418.418364,66.406250
4.875000,404.796353,64.453125
5.000000,539.691288,78.125000
5.125000,592.978062,74.218750
5.250000,499.275541,68.359375
5.375000,396.140206,80.078125
5.500000,403.160672,78.125000
5.625000,430.759563,70.312500
5.750000,367.232127,70.312500
5.875000,400.132290,82.031250
6.000000,461.499322,72.265625
6.125000,376.642144,68.359375
6.250000,264.751100,68.359375
6.375000,265.345307,70.312500
6.500000,302.886948,70.312500
6.625000,394.842002,72.265625
6.750000,416.936781,70.312500
6.875000,392.093125,66.406250
7.000000,328.881483,66.406250
7.125000,312.041267,72.265625
7.250000,356.833885,68.359375
7.375000,424.612318,70.312500
7.500000,483.658012,66.406250
7.625000,484.812205,64.453125
7.750000,458.943608,64.453125
7.875000,456.682086,68.359375
8.000000,445.297244,64.453125
8.125000,322.883779,62.500000
8.250000,210.572045,80.078125
8.375000,297.516662,70.312500
8.500000,430.095230,64.453125
8.625000,413.979529,62.500000
8.750000,403.056632,66.406250
8.875000,511.534591,68.359375
9.000000,525.415990,80.078125
9.125000,638.109151,74.218750
9.250000,690.058816,62.500000
9.375000,554.077216,72.265625
9.500000,563.456455,70.312500
9.625000,622.579545,76.171875
9.750000,561.368751,70.312500
9.875000,556.920131,70.312500
10.000000,534.941765,68.359375
10.125000,424.344067,78.125000
10.250000,392.573389,78.125000
10.375000,473.120370,72.265625
10.500000,473.058784,68.359375
10.625000,452.377145,62.500000
10.750000,577.497718,68.359375
10.875000,703.607261,64.453125
11.000000,610.953231,66.406250
11.125000,469.266119,74.218750
11.250000,497.977832,76.171875
11.375000,444.599997,87.890625
11.500000,448.626349,68.359375
11.625000,470.934656,64.453125
11.750000,446.961351,64.453125
11.875000,450.288807,70.312500
12.000000,433.948497,64.453125
12.125000,426.563343,68.359375
12.250000,444.743330,62.500000
12.375000,523.403251,66.406250
12.500000,486.514093,68.359375
12.625000,370.137703,68.359375
12.750000,358.916774,62.500000
12.875000,314.499724,64.453125
13.000000,326.166021,74.218750
13.125000,446.340204,66.406250
13.250000,466.949928,66.406250
13.375000,370.177969,62.500000
13.500000,347.759576,76.171875
13.625000,422.688101,64.453125
13.750000,434.198708,68.359375
13.875000,359.354243,62.500000
14.000000,342.113804,64.453125
14.125000,361.322484,62.500000
14.250000,513.083837,62.500000
14.375000,533.395613,64.453125
14.500000,544.054321,85.937500
14.625000,614.215460,68.359375
14.750000,603.386710,80.078125
14.875000,525.099278,66.406250
15.000000,432.562635,70.312500
15.125000,426.479440,66.406250
15.250000,516.526954,70.312500
15.375000,539.614622,72.265625
15.500000,390.068622,68.359375
15.625000,353.744832,76.171875
15.750000,443.231745,60.546875
15.875000,515.718519,64.453125
16.000000,449.038778,70.312500
16.125000,314.398184,82.031250
16.250000,350.905295,70.312500
16.375000,366.834367,56.640625
16.500000,313.662822,66.406250
16.625000,271.778032,74.218750
16.750000,246.378843,68.359375
16.875000,295.387135,60.546875
17.000000,307.595216,68.359375
17.125000,253.109111,62.500000
17.250000,193.383479,68.359375
17.375000,195.200598,64.453125
17.500000,261.850551,70.312500
17.625000,274.353006,60.546875
17.750000,282.414555,56.640625
17.875000,340.505927,62.500000
18.000000,364.633401,60.546875
18.125000,333.121210,68.359375
18.250000,344.955055,64.453125
18.375000,400.148047,66.406250
18.500000,349.474126,58.593750
18.625000,316.122054,60.546875
18.750000,287.852338,56.640625
18.875000,224.088474,58.593750
19.000000,215.287185,52.734375
19.125000,245.105266,72.265625
19.250000,257.947646,56.640625
19.375000,202.106622,64.453125
19.500000,256.762063,58.593750
19.625000,292.647354,60.546875
19.750000,262.990655,58.593750
19.875000,222.988187,64.453125
20.000000,302.006378,66.406250
20.125000,431.760395,60.546875
20.250000,370.886193,66.406250
20.375000,251.929517,58.593750
20.500000,225.947608,58.593750
20.625000,194.723641,60.546875
20.750000,296.330952,60.546875
20.875000,273.342078,58.593750
21.000000,148.871519,64.453125
21.125000,213.831485,68.359375
21.250000,298.780080,70.312500
21.375000,308.188629,58.593750
21.500000,279.145870,58.593750
21.625000,252.180943,64.453125
21.750000,254.788393,72.265625
21.875000,314.940260,62.500000
22.000000,318.621668,62.500000
22.125000,345.013796,62.500000
22.250000,441.627170,62.500000
22.375000,468.717929,64.453125
22.500000,482.535618,70.312500
22.625000,516.479462,64.453125
22.750000,459.374754,68.359375
22.875000,324.374127,68.359375
